Station,LT_Latitude,LT_Longitude,PT_Latitude,PT_Longitude,UT_Latitude,UT_Longitude,PRN,Lower time,Upper time,Peak time
BOAV,3.93,-69.31,9.26,-64.57,6.24,-59.67,2,19,23,21
BOAV,0.3,-64.1,3.83,-63.31,7.11,-61.95,5,20,23,21.5
BOAV,8.24,-62.16,7.94,-58.21,4.24,-56.37,6,20,23,21.5
BOAV,5.98,-56,10.22,-53.9,17.62,-49.1,9,21,22.33,21.75
BOAV,16.22,-72.08,6.92,-67.15,-0.82,-66.02,12,20.25,23.5,21.25
BOAV,-10.65,-68.37,-3.4,-62.49,2.23,-60.7,13,20,23,21
BOAV,7.63,-60.34,3.21,-58.89,-2.43,-57.41,17,19,23,21
BOAV,9.35,-62.32,4.2,-59.46,0.11,-58.88,19,19,23,21
BOAV,1.97,-60.67,-2.05,-59.67,-12.91,-50.97,28,19.5,22.5,21
BOAV,17.48,-70.88,12.91,-67.95,9.86,-66.21,29,22.88,23.5,23.19
KOUG,6.42,-65.43,11.96,-57.52,8.11,-52.21,2,19,23,21
KOUG,5.82,-50.38,6.93,-50.18,8.35,-49.72,4,21,22,21.5
KOUG,-5.52,-67.44,4.87,-56.5,9.27,-54.49,5,19,23,21
KOUG,8.54,-56.8,10.19,-52.04,6.09,-49.51,6,19,23,21
KOUG,6.2,-49.6,9.32,-48.56,17.89,-43.08,9,20.5,22.5,21.5
KOUG,16.84,-64.77,8.63,-61.01,4.4,-60.64,12,20.5,22.5,21.5
KOUG,-10.8,-61.48,-2.39,-55.51,2.11,-53.68,13,20,22,21
KOUG,-9.94,-63.14,-3.58,-59.01,0.09,-56.98,15,21.5,22.5,22
KOUG,9.46,-52.84,5.73,-51.54,1.96,-50.91,17,19,22.5,20.75
KOUG,11.46,-54.87,6.69,-52.09,3.47,-51.7,19,19,22.5,20.75
KOUR,12.07,-58.08,10.49,-54.08,8.24,-52.36,2,21,23,22
KOUR,-5.39,-61.59,5.01,-56.64,9.39,-54.64,5,19,23,21
KOUR,8.66,303.07,10.31,-52.2,6.23,-49.66,6,19,23,21
KOUR,10,-61.48,7.58,-60.86,4.54,-60.75,12,21,22.5,21.75
KOUR,9.59,-53,5.42,-51.64,0.02,3.67000000000002,17,19,23,21
KOUR,11.56,-55.01,6.36,-52.15,2.41,-51.62,19,19,23,21
