Longitude,Latitude,Height,Time
-66.2,14.9,25,5.5
-66.11434804548556,14.894418922227317,30,4.8
-65.91881026552984,14.88167768866625,40,3.5
-65.70187469806483,14.867542176166308,50,2.3
-65.47931624726466,14.853040276823497,60,1.15
-65.2565623980995,14.8385256453314,70,0.0
-65.05414254074378,14.825335975894877,80,-1.2839726027397251
-64.64916327194817,14.798947543683546,100,-3.7184931506849317
-63.636073230422234,14.732934638963048,150,-9.804794520547949
-62.622350318931936,14.666880496462152,200,-15.891095890410968
-61.608396091468606,14.600811281422128,250,-21.97739726027399
-60.59460628618464,14.534752780124435,300,-28.063698630137004
-59.581370271457615,14.468730363796261,350,-34.15000000000003
-58.56907186939114,14.402769042269822,400,-40.23630136986304
